episode_id,n_steps,final_loc_error,avg_loc_error,final_true_dist,final_est_dist,ever_act,ever_success,done_reason
0,81,0.22052930928792816,0.2075429221999737,0.49933414847322677,0.5881238550761859,1,1,acted_success
1,58,0.2371325744449213,0.2949536325372094,0.5396090180418307,0.5803452844721866,1,0,acted_failure
2,81,0.1573525405892399,0.25418816077113227,0.4884222115387086,0.5817567290308647,1,1,acted_success
3,350,0.23845969514077953,0.29082280629958596,0.18009351082250852,0.09610407500716897,0,1,max_steps
4,350,0.35049962968819365,0.3785668279382617,0.3504996296880223,1.1550380450183526e-12,0,1,max_steps
5,57,0.22275672345091513,0.22976307238548818,0.41947444015930513,0.5817650823584356,1,1,acted_success
6,43,0.3646474259443056,0.36653692096490403,0.808412010983659,0.5674559146444144,1,0,acted_failure
7,57,0.26954068470178133,0.28855478879683694,0.8608427421527952,0.5974617984621668,1,0,acted_failure
8,59,0.4753523055454223,0.4139023376801668,0.17347083618451836,0.561333749138533,1,1,acted_success
9,52,0.07880840581202221,0.07957120083031101,0.6312699847645183,0.5738046915035679,1,0,acted_failure
10,63,0.14060320098328685,0.131891679802946,0.6637782459599932,0.5857830016131818,1,0,acted_failure
11,50,0.32853090256187184,0.3384807174664304,0.6141367950720223,0.5667544119184355,1,0,acted_failure
12,350,0.8756962122465614,0.48851529651276476,0.8756962122446362,2.6941966763363968e-12,0,1,max_steps
13,79,0.39583055323794003,0.4297912124604339,0.4955938130701959,0.5975276828851388,1,1,acted_success
14,69,0.1979335480600607,0.10076492317608483,0.6024862896657472,0.5879735325696342,1,0,acted_failure
15,43,0.027763678266855146,0.09541123872904189,0.6223114701485857,0.5945824148945729,1,0,acted_failure
16,79,0.31059230986883624,0.25174114909815165,0.3672007305839267,0.5920001070163725,1,1,acted_success
17,75,0.1458657905770108,0.2661169018336759,0.4443343406155587,0.5844072427272106,1,1,acted_success
18,71,0.16624792636386346,0.09203519986421016,0.5081483024404475,0.5927810217299745,1,0,acted_failure
19,350,0.7011476404706563,0.7543518468384574,0.6996013855813977,0.003438183091630675,0,0,max_steps
20,15,0.3666882685992095,0.34818705095711955,0.8632897970319086,0.5701203255604769,1,0,acted_failure
21,85,0.9206666744751125,0.6213205622356052,1.2057648490400663,0.5739826403706844,1,0,acted_failure
22,83,0.4558417846332964,0.3834338597835168,0.5048146024915166,0.5711947471143466,1,0,acted_failure
23,73,0.6210253258265075,0.41252305957919727,0.9578963667574211,0.5775842205681818,1,0,acted_failure
24,35,0.27452704377808784,0.2532024866916497,0.8597789949336024,0.5862229630084844,1,0,acted_failure
